fname,fs,alpha,k
73988811_0_2775758476756716904.csv,1,0.001,1
73988811_0_2775758476756716904.csv,2,0.001,1
73988811_0_2775758476756716904.csv,3,0.02000000000000001,1
73988811_0_2775758476756716904.csv,4,0.20800000000000016,1
73988811_0_2775758476756716904.csv,5,0.33500000000000024,1
74718406_0_3914457597478137388.csv,1,0.001,1
74718406_0_3914457597478137388.csv,2,0.001,1
74718406_0_3914457597478137388.csv,3,0.002,1
74718406_0_3914457597478137388.csv,4,0.024000000000000014,1
74718406_0_3914457597478137388.csv,5,0.04500000000000003,1
38390205_1_8150763005563658139.csv,1,0.001,1
38390205_1_8150763005563658139.csv,2,0.001,1
38390205_1_8150763005563658139.csv,3,0.001,1
38390205_1_8150763005563658139.csv,4,0.001,1
38390205_1_8150763005563658139.csv,5,0.001,1
64734047_0_5880705307495695536.csv,1,0.001,1
64734047_0_5880705307495695536.csv,2,0.001,1
64734047_0_5880705307495695536.csv,3,0.001,1
64734047_0_5880705307495695536.csv,4,0.001,1
64734047_0_5880705307495695536.csv,5,0.001,1
38732532_0_1420803645394505878.csv,1,0.001,4
38732532_0_1420803645394505878.csv,2,0.001,4
38732532_0_1420803645394505878.csv,3,0.002,1
38732532_0_1420803645394505878.csv,4,0.08600000000000006,1
38732532_0_1420803645394505878.csv,5,0.1570000000000001,1
76373906_0_6904594838446307331.csv,1,0.001,1
76373906_0_6904594838446307331.csv,2,0.001,1
76373906_0_6904594838446307331.csv,3,0.001,1
76373906_0_6904594838446307331.csv,4,0.003,1
76373906_0_6904594838446307331.csv,5,0.006,1
4501311_8_8306082458935575308.csv,1,0.001,1
4501311_8_8306082458935575308.csv,2,0.001,1
4501311_8_8306082458935575308.csv,3,0.001,1
4501311_8_8306082458935575308.csv,4,0.001,1
4501311_8_8306082458935575308.csv,5,0.001,1
47709681_0_4437772923903322343.csv,1,0.001,1
47709681_0_4437772923903322343.csv,2,0.001,1
47709681_0_4437772923903322343.csv,3,0.002,1
47709681_0_4437772923903322343.csv,4,0.03300000000000002,1
47709681_0_4437772923903322343.csv,5,0.06300000000000004,1
12193237_0_8699643798888088574.csv,1,0.001,1
12193237_0_8699643798888088574.csv,2,0.001,1
12193237_0_8699643798888088574.csv,3,0.001,1
12193237_0_8699643798888088574.csv,4,0.035000000000000024,1
12193237_0_8699643798888088574.csv,5,0.06600000000000004,1
9686394_0_5980699488362107028.csv,1,0.001,1
9686394_0_5980699488362107028.csv,2,0.001,1
9686394_0_5980699488362107028.csv,3,0.002,1
9686394_0_5980699488362107028.csv,4,0.024000000000000014,1
9686394_0_5980699488362107028.csv,5,0.04500000000000003,1
24142265_0_4577466141408796359.csv,1,0.001,1
24142265_0_4577466141408796359.csv,2,0.001,1
24142265_0_4577466141408796359.csv,3,0.002,1
24142265_0_4577466141408796359.csv,4,0.02900000000000002,1
24142265_0_4577466141408796359.csv,5,0.05500000000000004,1
53989675_0_8697482470743954630.csv,1,0.001,1
53989675_0_8697482470743954630.csv,2,0.001,1
53989675_0_8697482470743954630.csv,3,0.003,1
53989675_0_8697482470743954630.csv,4,0.05100000000000004,1
53989675_0_8697482470743954630.csv,5,0.09600000000000007,1
19361188_0_1640726405141876003.csv,1,0.001,1
19361188_0_1640726405141876003.csv,2,0.001,1
19361188_0_1640726405141876003.csv,3,0.002,1
19361188_0_1640726405141876003.csv,4,0.047000000000000035,1
19361188_0_1640726405141876003.csv,5,0.08800000000000006,1
43226272_0_5995103035300388365.csv,1,0.001,1
43226272_0_5995103035300388365.csv,2,0.001,1
43226272_0_5995103035300388365.csv,3,0.001,1
43226272_0_5995103035300388365.csv,4,0.001,1
43226272_0_5995103035300388365.csv,5,0.001,1
3887681_0_7938589465814037992.csv,1,0.001,3
3887681_0_7938589465814037992.csv,2,0.001,1
3887681_0_7938589465814037992.csv,3,0.005,1
3887681_0_7938589465814037992.csv,4,0.1330000000000001,1
3887681_0_7938589465814037992.csv,5,0.23300000000000018,1
78005071_0_8643954006825971723.csv,1,0.001,1
78005071_0_8643954006825971723.csv,2,0.001,1
78005071_0_8643954006825971723.csv,3,0.001,1
78005071_0_8643954006825971723.csv,4,0.01900000000000001,1
78005071_0_8643954006825971723.csv,5,0.037000000000000026,1
13719111_1_5719401842463579519.csv,1,0.001,1
13719111_1_5719401842463579519.csv,2,0.001,1
13719111_1_5719401842463579519.csv,3,0.001,1
13719111_1_5719401842463579519.csv,4,0.005,1
13719111_1_5719401842463579519.csv,5,0.010000000000000002,1
84548468_0_5955155464119382182.csv,1,0.001,1
84548468_0_5955155464119382182.csv,2,0.001,1
84548468_0_5955155464119382182.csv,3,0.02100000000000001,1
84548468_0_5955155464119382182.csv,4,0.20800000000000016,1
84548468_0_5955155464119382182.csv,5,0.33600000000000024,1
33401079_0_9127583903019856402.csv,1,0.02900000000000002,1
33401079_0_9127583903019856402.csv,2,0.05500000000000004,1
33401079_0_9127583903019856402.csv,3,0.23000000000000018,1
33401079_0_9127583903019856402.csv,4,0.3840000000000003,1
33401079_0_9127583903019856402.csv,5,0.4870000000000004,1
41819807_0_3139249984404131679.csv,1,0.001,3
41819807_0_3139249984404131679.csv,2,0.001,2
41819807_0_3139249984404131679.csv,3,0.002,1
41819807_0_3139249984404131679.csv,4,0.04200000000000003,1
41819807_0_3139249984404131679.csv,5,0.08000000000000006,1
63450419_0_8012592961815711786.csv,1,0.001,1
63450419_0_8012592961815711786.csv,2,0.001,1
