fname,fs,alpha,k
26310680_0_5150772059999313798.csv,1,0.001,1
26310680_0_5150772059999313798.csv,2,0.001,1
26310680_0_5150772059999313798.csv,3,0.001,1
26310680_0_5150772059999313798.csv,4,0.007,1
26310680_0_5150772059999313798.csv,5,0.014000000000000005,1
10579449_0_1681126353774891032.csv,1,0.001,1
10579449_0_1681126353774891032.csv,2,0.001,1
10579449_0_1681126353774891032.csv,3,0.001,1
10579449_0_1681126353774891032.csv,4,0.015000000000000006,1
10579449_0_1681126353774891032.csv,5,0.028000000000000018,1
29414811_6_8221428333921653560.csv,2,1,0.001,2
29414811_6_8221428333921653560.csv,2,2,0.001,2
29414811_6_8221428333921653560.csv,2,3,0.001,2
29414811_6_8221428333921653560.csv,2,4,0.01800000000000001,2
29414811_6_8221428333921653560.csv,2,5,0.035000000000000024,2
84548468_0_5955155464119382182.csv,1,0.02000000000000001,1
84548468_0_5955155464119382182.csv,2,0.03900000000000003,1
84548468_0_5955155464119382182.csv,3,0.17100000000000012,1
84548468_0_5955155464119382182.csv,4,0.3170000000000002,1
84548468_0_5955155464119382182.csv,5,0.4190000000000003,1
63450419_0_8012592961815711786.csv,1,0.001,1
63450419_0_8012592961815711786.csv,2,0.001,1
63450419_0_8012592961815711786.csv,3,0.004,1
63450419_0_8012592961815711786.csv,4,0.04900000000000004,1
63450419_0_8012592961815711786.csv,5,0.09000000000000007,1
39107734_2_2329160387535788734.csv,1,1,0.001,2
39107734_2_2329160387535788734.csv,2,0.001,1
39107734_2_2329160387535788734.csv,3,0.001,1
39107734_2_2329160387535788734.csv,4,0.02000000000000001,1
39107734_2_2329160387535788734.csv,5,0.037000000000000026,1
29414811_12_251152470253168163.csv,1,0.001,1
29414811_12_251152470253168163.csv,2,0.001,1
29414811_12_251152470253168163.csv,3,0.007,1
29414811_12_251152470253168163.csv,4,0.07400000000000005,1
29414811_12_251152470253168163.csv,5,0.1320000000000001,1
91959037_0_7907661684242014480.csv,1,1,0.001,2
91959037_0_7907661684242014480.csv,2,0.001,1
91959037_0_7907661684242014480.csv,3,0.002,1
91959037_0_7907661684242014480.csv,4,0.04000000000000003,1
91959037_0_7907661684242014480.csv,5,0.07600000000000005,1
75367212_2_2745466355267233390.csv,1,0.001,1
75367212_2_2745466355267233390.csv,2,0.001,1
75367212_2_2745466355267233390.csv,3,0.008,1
75367212_2_2745466355267233390.csv,4,0.07500000000000005,1
75367212_2_2745466355267233390.csv,5,0.1330000000000001,1
84575189_0_6365692015941409487.csv,2,1,0.001,3
84575189_0_6365692015941409487.csv,2,2,0.001,2
84575189_0_6365692015941409487.csv,3,0.001,1
84575189_0_6365692015941409487.csv,4,0.022000000000000013,1
84575189_0_6365692015941409487.csv,5,0.04300000000000003,1
14380604_4_3329235705746762392.csv,2,1,0.17200000000000013,3
14380604_4_3329235705746762392.csv,2,2,0.2930000000000002,3
14380604_4_3329235705746762392.csv,2,3,0.8450000000000006,5
