fname,colid,fs,alpha,k
v15_168.csv,1,5,0.5980000000000004,1
v15_168.csv,2,1,0.04100000000000003,1
v15_168.csv,2,2,0.07800000000000006,1
v15_168.csv,2,3,0.2660000000000002,1
v15_168.csv,2,4,0.3740000000000003,1
v15_168.csv,2,5,0.47800000000000037,1
v15_169.csv,0,1,0.001,1
v15_169.csv,0,2,0.001,1
v15_169.csv,0,3,0.004,1
v15_169.csv,0,4,0.06400000000000004,1
v15_169.csv,0,5,0.11800000000000009,1
v15_169.csv,1,1,0.025000000000000015,1
v15_169.csv,1,2,0.048000000000000036,1
v15_169.csv,1,3,0.19000000000000014,1
v15_169.csv,1,4,0.3070000000000002,1
v15_169.csv,1,5,0.4070000000000003,1
v15_169.csv,2,1,0.05400000000000004,1
v15_169.csv,2,2,0.10200000000000008,1
v15_169.csv,2,3,0.32800000000000024,1
v15_169.csv,2,4,0.43300000000000033,1
v15_169.csv,2,5,0.5100000000000003,1
v15_170.csv,0,1,0.001,1
v15_170.csv,0,2,0.001,1
v15_170.csv,0,3,0.004,1
v15_170.csv,0,4,0.06200000000000005,1
v15_170.csv,0,5,0.11400000000000009,1
v15_170.csv,1,1,0.03900000000000003,1
v15_170.csv,1,2,0.07400000000000005,1
v15_170.csv,1,3,0.25600000000000017,1
v15_170.csv,1,4,0.3720000000000003,1
v15_170.csv,1,5,0.46500000000000036,1
v15_170.csv,2,1,0.035000000000000024,1
v15_170.csv,2,2,0.06700000000000005,1
v15_170.csv,2,3,0.23500000000000018,1
v15_170.csv,2,4,0.35800000000000026,1
v15_170.csv,2,5,0.46500000000000036,1
v15_171.csv,0,1,0.001,1
v15_171.csv,0,2,0.001,1
v15_171.csv,0,3,0.004,1
v15_171.csv,0,4,0.07000000000000005,1
v15_171.csv,0,5,0.12800000000000009,1
v15_171.csv,1,1,0.035000000000000024,1
v15_171.csv,1,2,0.06600000000000004,1
v15_171.csv,1,3,0.23200000000000018,1
v15_171.csv,1,4,0.32100000000000023,1
v15_171.csv,1,5,0.4090000000000003,1
v15_171.csv,2,1,0.06300000000000004,1
v15_171.csv,2,2,0.11800000000000009,1
v15_171.csv,2,3,0.36400000000000027,1
v15_171.csv,2,4,0.47300000000000036,1
v15_171.csv,2,5,0.5490000000000004,1
v15_172.csv,0,1,0.001,1
v15_172.csv,0,2,0.001,1
v15_172.csv,0,3,0.003,1
v15_172.csv,0,4,0.058000000000000045,1
v15_172.csv,0,5,0.10700000000000008,1
v15_172.csv,1,1,0.026000000000000016,1
v15_172.csv,1,2,0.05000000000000004,1
v15_172.csv,1,3,0.18500000000000014,1
v15_172.csv,1,4,0.32000000000000023,1
v15_172.csv,1,5,0.4220000000000003,1
v15_172.csv,2,1,0.037000000000000026,1
v15_172.csv,2,2,0.07000000000000005,1
v15_172.csv,2,3,0.2440000000000002,1
v15_172.csv,2,4,0.35300000000000026,1
v15_172.csv,2,5,0.45000000000000034,1
v15_173.csv,0,1,0.001,1
v15_173.csv,0,2,0.001,1
v15_173.csv,0,3,0.003,1
v15_173.csv,0,4,0.058000000000000045,1
v15_173.csv,0,5,0.10700000000000008,1
v15_173.csv,1,1,0.05600000000000004,1
v15_173.csv,1,2,0.10500000000000008,1
v15_173.csv,1,3,0.33500000000000024,1
v15_173.csv,1,4,0.44000000000000034,1
v15_173.csv,1,5,0.5170000000000003,1
v15_173.csv,2,1,0.05300000000000004,1
v15_173.csv,2,2,0.09900000000000007,1
v15_173.csv,2,3,0.32100000000000023,1
v15_173.csv,2,4,0.4250000000000003,1
v15_173.csv,2,5,0.5010000000000003,1
v15_175.csv,0,1,0.001,1
v15_175.csv,0,2,0.001,1
v15_175.csv,0,3,0.005,1
v15_175.csv,0,4,0.08100000000000006,1
v15_175.csv,0,5,0.1460000000000001,1
v15_175.csv,1,1,0.17500000000000013,1
v15_175.csv,1,2,0.2960000000000002,1
v15_175.csv,1,3,0.6440000000000005,1
v15_175.csv,1,4,0.7390000000000005,1
