fname,colid,fsid,from_alpha,to_alpha
34041816_1_4749054164534706977.csv,1,3,0.00100,0.10000
34041816_1_4749054164534706977.csv,1,4,0.01900,0.45700
34041816_1_4749054164534706977.csv,1,5,0.03700,0.61100
35188621_0_6058553107571275232.csv,1,1,0.00100,0.00400
35188621_0_6058553107571275232.csv,1,2,0.00100,0.00800
35188621_0_6058553107571275232.csv,1,3,0.04900,0.15100
35188621_0_6058553107571275232.csv,1,4,-1.00000,-1.00000
35188621_0_6058553107571275232.csv,1,5,-1.00000,-1.00000
28423212_0_2742990779532526553.csv,0,1,0.00100,0.02300
28423212_0_2742990779532526553.csv,0,2,0.00100,0.04500
28423212_0_2742990779532526553.csv,0,3,0.01200,0.49700
28423212_0_2742990779532526553.csv,0,4,0.11900,0.63300
28423212_0_2742990779532526553.csv,0,5,0.20500,0.65900
76275868_0_4528346580716713695.csv,1,1,-1.00000,-1.00000
76275868_0_4528346580716713695.csv,1,2,-1.00000,-1.00000
76275868_0_4528346580716713695.csv,1,3,-1.00000,-1.00000
76275868_0_4528346580716713695.csv,1,4,-1.00000,-1.00000
76275868_0_4528346580716713695.csv,1,5,-1.00000,-1.00000
73988811_0_2775758476756716904.csv,0,1,0.00100,0.00700
73988811_0_2775758476756716904.csv,0,2,0.00100,0.01400
73988811_0_2775758476756716904.csv,0,3,0.03000,0.16500
73988811_0_2775758476756716904.csv,0,4,0.27700,0.37200
73988811_0_2775758476756716904.csv,0,5,0.42400,0.49700
74718406_0_3914457597478137388.csv,1,1,0.00100,0.00200
74718406_0_3914457597478137388.csv,1,2,0.00100,0.00400
74718406_0_3914457597478137388.csv,1,3,0.00200,0.26300
74718406_0_3914457597478137388.csv,1,4,0.02500,0.72800
74718406_0_3914457597478137388.csv,1,5,0.04700,0.83300
38390205_1_8150763005563658139.csv,2,1,0.00100,0.03300
38390205_1_8150763005563658139.csv,2,2,0.00100,0.06400
38390205_1_8150763005563658139.csv,2,3,0.00100,0.70400
38390205_1_8150763005563658139.csv,2,4,0.00100,0.75700
38390205_1_8150763005563658139.csv,2,5,0.00100,0.75500
12151277_0_1262954734066545952.csv,1,1,-1.00000,-1.00000
12151277_0_1262954734066545952.csv,1,2,-1.00000,-1.00000
12151277_0_1262954734066545952.csv,1,3,-1.00000,-1.00000
12151277_0_1262954734066545952.csv,1,4,-1.00000,-1.00000
12151277_0_1262954734066545952.csv,1,5,-1.00000,-1.00000
64734047_0_5880705307495695536.csv,0,1,0.00100,0.02700
64734047_0_5880705307495695536.csv,0,2,0.00100,0.05400
64734047_0_5880705307495695536.csv,0,3,0.00100,0.66500
64734047_0_5880705307495695536.csv,0,4,0.00100,0.89800
64734047_0_5880705307495695536.csv,0,5,0.00100,0.93000
38732532_0_1420803645394505878.csv,0,1,-1.00000,-1.00000
38732532_0_1420803645394505878.csv,0,2,-1.00000,-1.00000
38732532_0_1420803645394505878.csv,0,3,0.00100,0.00100
38732532_0_1420803645394505878.csv,0,4,0.01900,0.03900
38732532_0_1420803645394505878.csv,0,5,0.03700,0.07500
76373906_0_6904594838446307331.csv,0,1,0.00100,0.02700
76373906_0_6904594838446307331.csv,0,2,0.00100,0.05300
76373906_0_6904594838446307331.csv,0,3,0.00100,0.56900
76373906_0_6904594838446307331.csv,0,4,0.00100,0.85200
76373906_0_6904594838446307331.csv,0,5,0.00100,0.91100
4501311_8_8306082458935575308.csv,1,1,0.00100,0.99900
4501311_8_8306082458935575308.csv,1,2,0.00100,0.99900
4501311_8_8306082458935575308.csv,1,3,0.00100,0.99900
4501311_8_8306082458935575308.csv,1,4,0.00100,0.99900
4501311_8_8306082458935575308.csv,1,5,0.00100,0.99900
47709681_0_4437772923903322343.csv,0,1,0.00100,0.01100
47709681_0_4437772923903322343.csv,0,2,0.00100,0.02200
47709681_0_4437772923903322343.csv,0,3,0.00200,0.33700
47709681_0_4437772923903322343.csv,0,4,0.03600,0.63700
47709681_0_4437772923903322343.csv,0,5,0.06800,0.75000
12193237_0_8699643798888088574.csv,0,1,0.00100,0.12400
12193237_0_8699643798888088574.csv,0,2,0.00100,0.22100
12193237_0_8699643798888088574.csv,0,3,0.00200,0.80500
12193237_0_8699643798888088574.csv,0,4,0.04800,0.83200
12193237_0_8699643798888088574.csv,0,5,0.09000,0.82900
9686394_0_5980699488362107028.csv,1,1,0.00100,0.00200
9686394_0_5980699488362107028.csv,1,2,0.00100,0.00400
9686394_0_5980699488362107028.csv,1,3,0.00200,0.26300
9686394_0_5980699488362107028.csv,1,4,0.02500,0.72800
9686394_0_5980699488362107028.csv,1,5,0.04700,0.83300
24142265_0_4577466141408796359.csv,5,1,0.00100,0.02500
24142265_0_4577466141408796359.csv,5,2,0.00100,0.04800
24142265_0_4577466141408796359.csv,5,3,0.00100,0.43000
